Gene	Transcript	Num_HC_uORFs	Num_HC_oORFs	Possible_uAUG_creating_SNVs	Possible_stop_removing_SNVs	HC_uAUG_creating_SNVs	HC_stop_removing_SNVs	LOEUF	ClinGen_haplo_score	ClinVar_HC_pathogenic_LoFs	Gene_class	Gene_likelihood
C12orf43	ENST00000288757	0	0	3	0	2	0	1.4100e+00	NA	0	6	Moderate
CBL	ENST00000264033	0	0	22	0	9	0	5.0300e-01	0	4	7	High
CLECL1	ENST00000327839	0	0	3	0	1	0	1.3060e+00	NA	0	6	Moderate
GSTT2B	ENST00000290765	0	0	0	0	0	0	7.0800e-01	NA	0	1	Unknown
GOLGA6L18	ENST00000559949	0	0	0	0	0	0	9.8200e-01	NA	0	1	Unknown
PPAPDC1A	ENST00000398250	0	0	24	0	6	0	1.0250e+00	NA	0	6	Moderate
WDR25	ENST00000335290	0	0	19	0	7	0	8.5200e-01	NA	0	6	Moderate
GAGE2A	ENST00000362097	0	0	1	0	0	0	1.8730e+00	NA	0	2	Low
PGA3	ENST00000325558	1	0	24	5	9	5	1.2470e+00	NA	0	6	Moderate
SGCA	ENST00000262018	0	0	2	0	1	0	7.8900e-01	NA	3	7	High
YIPF1	ENST00000072644	1	0	28	8	5	0	7.7000e-01	NA	0	6	Moderate
C22orf29	ENST00000405640	1	0	54	8	9	0	NA	NA	0	6	Moderate
GALK2	ENST00000560031	0	0	49	0	16	0	1.2510e+00	NA	0	6	Moderate
DCAF15	ENST00000254337	0	0	4	0	3	0	2.7200e-01	NA	0	7	High
MYO19	ENST00000431794	1	0	56	24	4	0	1.1750e+00	NA	0	6	Moderate
RAB3B	ENST00000371655	0	0	13	0	5	0	7.5400e-01	NA	0	6	Moderate
UCP1	ENST00000262999	0	0	9	0	2	0	1.7880e+00	NA	0	5	Low
REEP5	ENST00000379638	1	0	32	5	10	0	1.2730e+00	NA	0	6	Moderate
HTR5A-AS1	ENST00000543018	1	0	0	0	0	0	1.7860e+00	NA	0	1	Unknown
RP11-770J1.4	ENST00000532619	0	0	15	0	9	0	1.6040e+00	NA	0	5	Low
FOXA1	ENST00000250448	0	1	7	0	6	0	6.7700e-01	NA	0	3	Low
FADD	ENST00000301838	0	0	32	0	16	0	1.2770e+00	30	0	6	Moderate
ARHGAP19-SLIT1	ENST00000453547	0	0	0	0	0	0	1.0110e+00	NA	0	0	Unknown
ZNF844	ENST00000439326	0	0	25	0	2	0	1.7850e+00	NA	0	5	Low
ABI1	ENST00000376142	0	1	8	0	4	0	4.1800e-01	NA	0	3	Low
C2orf62	ENST00000289388	0	0	2	0	1	0	1.1630e+00	NA	0	6	Moderate
CACNA1A	ENST00000360228	0	0	0	0	0	0	1.3400e-01	3	3	0	Unknown
GRIN2D	ENST00000263269	0	1	6	0	5	0	1.6700e-01	NA	0	3	Low
SLC1A4	ENST00000234256	0	0	18	0	2	0	6.3700e-01	NA	0	6	Moderate
HINT2	ENST00000259667	0	0	4	0	3	0	1.7180e+00	NA	0	5	Low
PLD4	ENST00000392593	0	0	32	0	6	0	1.3030e+00	NA	0	6	Moderate
ZNF286A	ENST00000464847	3	0	41	24	0	0	9.2900e-01	NA	0	2	Low
ENY2	ENST00000521688	1	0	21	8	10	8	4.4200e-01	NA	0	6	Moderate
PXDNL	ENST00000356297	0	1	10	0	2	0	1.0910e+00	NA	0	3	Low
RP11-661C8.3	ENST00000511936	0	1	21	0	11	0	1.7330e+00	NA	0	3	Low
TNFSF13B	ENST00000375887	2	1	28	16	6	8	2.4400e-01	NA	0	3	Low
PRSS50	ENST00000460241	8	1	227	69	11	0	9.9000e-01	NA	0	3	Low
DENND3	ENST00000262585	0	2	8	0	0	0	6.6200e-01	NA	0	2	Low
CMPK1	ENST00000371873	0	0	6	0	3	0	4.4900e-01	NA	0	6	Moderate
HIST1H2AK	ENST00000330180	0	0	0	0	0	0	1.9360e+00	NA	0	0	Unknown
SSH1	ENST00000326495	0	0	7	0	4	0	5.2300e-01	NA	0	6	Moderate
C4orf21	ENST00000505019	0	0	23	0	2	0	1.0050e+00	NA	0	6	Moderate
ENSA	ENST00000339643	0	0	4	0	1	0	7.1900e-01	NA	0	6	Moderate
GNAQ	ENST00000286548	0	0	19	0	9	0	3.0200e-01	NA	0	7	High
CKAP2	ENST00000378037	0	0	12	0	4	0	1.1260e+00	NA	0	6	Moderate
AMH	ENST00000221496	0	0	1	0	1	0	1.7710e+00	30	0	5	Low
ZNF526	ENST00000301215	1	0	39	5	3	5	4.7100e-01	NA	0	6	Moderate
TRPM1	ENST00000542188	1	0	38	16	10	0	1.0680e+00	30	0	6	Moderate
PPP2R1A	ENST00000322088	0	0	7	0	5	0	3.0300e-01	NA	0	7	High
ANKRD62	ENST00000587848	0	0	27	0	11	0	4.1800e-01	NA	0	6	Moderate
CACNG3	ENST00000005284	6	1	131	58	5	8	1.9500e-01	NA	0	3	Low
AC003043.1	ENST00000597382	0	0	0	0	0	0	1.8600e+00	NA	0	0	Unknown
TTC34	ENST00000401095	0	0	16	0	12	0	1.6470e+00	NA	0	5	Low
TET2	ENST00000540549	3	2	92	37	3	0	1.3800e+00	NA	0	3	Low
HNRNPM	ENST00000325495	0	0	2	0	1	0	9.3000e-02	NA	0	7	High
COL2A1	ENST00000380518	0	0	15	8	4	0	1.3400e-01	3	3	8	High
DDN	ENST00000421952	0	0	2	0	2	0	4.7700e-01	NA	0	6	Moderate
AUNIP	ENST00000374298	0	0	3	0	2	0	1.5790e+00	NA	0	5	Low
HK2	ENST00000290573	2	0	55	16	9	0	4.8500e-01	NA	0	6	Moderate
ELOVL6	ENST00000394607	1	0	21	8	6	8	3.1900e-01	NA	0	7	High
MDK	ENST00000405308	2	0	42	16	21	16	8.6800e-01	NA	0	6	Moderate
RP11-1055B8.6	ENST00000574717	1	0	38	8	5	8	NA	NA	0	6	Moderate
EPHX1	ENST00000366837	0	0	33	0	8	0	1.1270e+00	NA	0	4	Low
RASSF2	ENST00000379400	1	0	35	6	8	6	1.0080e+00	NA	0	6	Moderate
DLX3	ENST00000434704	1	0	23	5	10	5	9.7000e-01	NA	0	6	Moderate
AIMP1	ENST00000394701	0	0	5	0	4	0	1.2160e+00	30	0	6	Moderate
DNAJC2	ENST00000379263	0	0	29	8	1	0	2.9200e-01	NA	0	7	High
PRTN3	ENST00000234347	0	0	7	0	4	0	1.6470e+00	NA	0	5	Low
AVPR1A	ENST00000299178	0	1	12	0	5	0	1.2920e+00	NA	0	3	Low
CTC-512J12.6	ENST00000588212	0	0	4	0	2	0	1.1390e+00	NA	0	6	Moderate
PRR23A	ENST00000383163	0	0	0	0	0	0	NA	NA	0	0	Unknown
DNPH1	ENST00000230431	0	0	1	0	1	0	1.2650e+00	NA	0	6	Moderate
TNFAIP8	ENST00000504771	10	0	244	101	4	0	9.6900e-01	NA	0	6	Moderate
GNB2L1	ENST00000512805	3	3	47	21	10	8	1.6000e-01	NA	0	3	Low
SCGB2A2	ENST00000227918	0	0	4	0	0	0	1.9050e+00	NA	0	2	Low
CALCRL	ENST00000409998	4	0	119	37	3	0	2.9800e-01	NA	0	7	High
ZNF674	ENST00000523374	0	0	30	0	4	0	1.3110e+00	1	0	6	Moderate
TMEM35	ENST00000372930	0	0	38	0	7	0	8.5300e-01	NA	0	6	Moderate
HECTD3	ENST00000372172	0	0	5	0	2	0	4.0300e-01	NA	0	6	Moderate
BRSK2	ENST00000382179	1	0	30	8	9	0	3.2900e-01	NA	0	7	High
C19orf77	ENST00000215531	0	0	8	0	6	0	1.4500e+00	NA	0	6	Moderate
LGALS9	ENST00000395473	11	0	210	115	8	0	9.8900e-01	NA	0	6	Moderate
SCARB2	ENST00000264896	0	0	31	0	11	0	7.2400e-01	0	0	6	Moderate
USP34	ENST00000398571	0	0	6	0	4	0	9.1000e-02	NA	0	7	High
ZDHHC23	ENST00000330212	0	0	27	0	13	0	1.4240e+00	NA	0	6	Moderate
AQP12B	ENST00000407834	0	0	8	0	3	0	1.7900e+00	NA	0	5	Low
SLC16A3	ENST00000581287	10	0	311	86	6	8	1.1700e+00	NA	0	6	Moderate
APLP2	ENST00000263574	0	0	9	0	2	0	3.9300e-01	NA	0	6	Moderate
MICAL3	ENST00000441493	1	0	41	8	9	0	2.8100e-01	NA	0	7	High
ITIH2	ENST00000358415	0	0	21	0	8	0	1.0920e+00	NA	0	6	Moderate
PRR5L	ENST00000378867	0	0	55	0	21	0	6.3700e-01	NA	0	6	Moderate
TNNI3K	ENST00000370891	0	0	0	0	0	0	1.4270e+00	NA	0	1	Unknown
KIAA1456	ENST00000524591	3	1	66	44	0	4	1.9450e+00	NA	0	3	Low
HDAC2	ENST00000519065	0	0	7	0	6	0	1.0000e-01	NA	0	7	High
PRR7	ENST00000323249	3	0	50	24	3	0	4.5100e-01	NA	0	6	Moderate
THBS2	ENST00000366787	0	0	31	0	12	0	3.4700e-01	NA	0	7	High
CA2	ENST00000285379	0	0	17	0	7	0	1.3730e+00	NA	0	8	High
RANBP17	ENST00000523189	0	0	16	0	9	0	1.3150e+00	NA	0	6	Moderate
TIMMDC1	ENST00000494664	0	0	29	8	3	8	1.2680e+00	NA	0	6	Moderate
RLN3	ENST00000431365	0	0	6	0	4	0	1.6580e+00	NA	0	5	Low
CRYZ	ENST00000417775	3	2	51	16	18	0	1.9280e+00	NA	0	3	Low
GBAS	ENST00000322090	0	0	2	0	1	0	1.1190e+00	NA	0	6	Moderate
TAS1R1	ENST00000333172	1	1	23	5	5	5	1.1740e+00	NA	0	3	Low
MPZL3	ENST00000278949	0	0	11	0	4	0	1.9480e+00	NA	0	5	Low
PCDH8	ENST00000377942	0	0	23	0	3	0	8.0600e-01	NA	0	6	Moderate
KCNK15	ENST00000372861	0	0	7	0	7	0	1.2480e+00	NA	0	6	Moderate
HSP90B1	ENST00000299767	0	0	25	8	9	0	2.7100e-01	NA	0	7	High
TNIP2	ENST00000315423	0	0	5	0	4	0	7.3600e-01	NA	0	6	Moderate
AC135178.1	ENST00000535173	1	0	36	18	4	0	NA	NA	0	6	Moderate
GPR146	ENST00000397095	1	0	23	5	12	5	1.0580e+00	NA	0	6	Moderate
NOL6	ENST00000297990	1	0	15	8	4	8	1.8200e-01	NA	0	7	High
SPC25	ENST00000282074	0	0	23	0	16	0	7.5700e-01	NA	0	6	Moderate
STEAP2	ENST00000287908	0	0	34	0	16	0	9.6700e-01	NA	0	6	Moderate
VAMP3	ENST00000054666	0	0	9	0	1	0	1.2690e+00	NA	0	6	Moderate
TMEM234	ENST00000309777	0	0	0	0	0	0	1.8720e+00	NA	0	1	Unknown
EIF3C	ENST00000331666	1	0	0	0	0	0	1.9260e+00	NA	0	1	Unknown
ZP4	ENST00000366570	1	0	25	8	8	0	1.3140e+00	NA	0	6	Moderate
TCIRG1	ENST00000265686	0	0	5	0	2	0	8.6600e-01	30	0	6	Moderate
TRIM39	ENST00000376656	2	0	42	18	1	5	2.6900e-01	NA	0	7	High
PARL	ENST00000317096	0	1	7	0	5	0	7.4500e-01	NA	0	3	Low
CRNN	ENST00000271835	0	0	6	0	4	0	1.3660e+00	NA	0	6	Moderate
TMEM231	ENST00000568377	0	1	3	0	2	0	1.2130e+00	30	0	3	Low
GRN	ENST00000053867	0	0	8	0	2	0	4.8300e-01	NA	2	7	High
NBPF11	ENST00000605317	4	0	0	0	0	0	1.8850e+00	NA	0	1	Unknown
RP11-89N17.1	ENST00000311067	0	0	42	8	11	0	NA	NA	0	6	Moderate
SCAMP1	ENST00000538629	0	1	14	0	8	0	2.9700e-01	NA	0	3	Low
PTS	ENST00000280362	0	0	6	0	6	0	1.6850e+00	30	0	8	High
BANP	ENST00000393207	1	1	29	16	8	0	2.7300e-01	NA	0	3	Low
PRKACG	ENST00000377276	0	0	1	0	0	0	NA	NA	0	2	Low
ADCY6	ENST00000307885	4	1	110	26	2	5	4.4200e-01	NA	0	3	Low
C16orf46	ENST00000299578	0	1	35	0	11	0	1.6270e+00	NA	0	3	Low
KLHL40	ENST00000287777	0	0	9	0	3	0	9.2400e-01	NA	0	6	Moderate
DDC	ENST00000444124	0	1	28	5	7	0	9.1500e-01	NA	0	3	Low
CYP51A1	ENST00000003100	0	0	25	0	14	0	1.0110e+00	NA	0	6	Moderate
ANPEP	ENST00000300060	0	0	36	0	6	0	6.3800e-01	NA	0	6	Moderate
PROM1	ENST00000510224	1	0	33	16	8	0	1.0510e+00	NA	0	6	Moderate
SIGLEC10	ENST00000356298	0	0	10	0	8	0	6.4400e-01	NA	0	6	Moderate
C1orf222	ENST00000493964	0	0	0	0	0	0	7.9300e-01	NA	0	0	Unknown
TRIP4	ENST00000261884	0	0	7	0	4	0	6.6800e-01	NA	0	8	High
RP11-17M16.1	ENST00000532511	0	0	25	0	6	0	1.8190e+00	NA	0	5	Low
FAM26E	ENST00000368599	0	0	8	0	3	0	1.1740e+00	NA	0	6	Moderate
GDF5	ENST00000374372	1	2	71	8	10	0	4.6500e-01	3	0	3	Low
SNX3	ENST00000230085	0	0	23	0	9	0	8.3700e-01	NA	0	6	Moderate
GOLGA8O	ENST00000509311	0	0	10	0	5	0	1.9050e+00	NA	0	5	Low
ASB18	ENST00000409749	0	0	0	0	0	0	1.6410e+00	NA	0	0	Unknown
PRAMEF18	ENST00000376126	0	0	0	0	0	0	1.8760e+00	NA	0	0	Unknown
FTSJ1	ENST00000348411	1	0	47	16	3	0	2.0400e-01	3	0	8	High
DST	ENST00000244364	0	0	35	10	4	0	1.8000e-01	NA	0	7	High
GLRX5	ENST00000331334	4	0	60	29	9	8	6.6100e-01	NA	0	6	Moderate
CAB39	ENST00000258418	0	0	30	0	7	0	6.3300e-01	NA	0	6	Moderate
MSH2	ENST00000233146	0	0	30	0	13	0	3.3400e-01	3	415	8	High
PIP4K2C	ENST00000354947	0	0	1	0	0	0	7.2200e-01	NA	0	2	Low
CYLD	ENST00000427738	3	0	27	22	3	6	2.0400e-01	NA	0	7	High
MS4A18	ENST00000398983	0	0	0	0	0	0	1.2380e+00	NA	0	0	Unknown
DEFB108B	ENST00000328698	0	0	0	0	0	0	1.9600e+00	NA	0	0	Unknown
WTAP	ENST00000358372	10	0	221	96	0	0	1.3000e-01	NA	0	2	Low
UBE3D	ENST00000369747	0	0	14	0	9	0	9.9000e-01	NA	0	6	Moderate
PET100	ENST00000594797	1	0	11	8	6	8	1.8230e+00	NA	0	8	High
NECAB3	ENST00000246190	0	0	2	0	2	0	8.2700e-01	NA	0	6	Moderate
SERTM1	ENST00000315190	1	0	64	13	2	5	1.4060e+00	NA	0	6	Moderate
MGAT4A	ENST00000264968	3	2	58	40	0	8	6.4400e-01	NA	0	3	Low
TSC22D4	ENST00000300181	3	0	70	24	11	16	2.9600e-01	NA	0	7	High
CHRM2	ENST00000445907	1	0	60	13	4	13	7.1800e-01	NA	0	6	Moderate
CCNH	ENST00000256897	1	0	26	8	11	8	8.0900e-01	NA	0	4	Low
RRM1	ENST00000300738	0	0	23	0	1	0	1.0300e-01	NA	0	7	High
OR5K2	ENST00000427338	0	0	13	0	3	0	1.8530e+00	NA	0	5	Low
GABRA4	ENST00000264318	3	2	127	21	9	0	4.0600e-01	NA	0	3	Low
CTDSPL	ENST00000273179	0	0	0	0	0	0	9.6100e-01	NA	0	1	Unknown
PDE11A	ENST00000286063	1	0	45	8	8	8	1.4040e+00	NA	0	6	Moderate
KLHL29	ENST00000486442	2	0	58	21	23	5	3.0100e-01	NA	0	7	High
SKIDA1	ENST00000449193	13	0	344	137	4	16	2.5200e-01	NA	0	7	High
CD5	ENST00000347785	1	0	18	7	5	0	1.0300e+00	NA	0	6	Moderate
TSPAN9	ENST00000011898	0	0	18	0	9	0	5.1900e-01	NA	0	6	Moderate
THUMPD1	ENST00000381337	1	3	13	0	0	0	1.5770e+00	NA	0	2	Low
RP11-849H4.2	ENST00000528511	0	0	1	0	1	0	1.7670e+00	NA	0	5	Low
CLYBL	ENST00000376360	0	0	0	0	0	0	1.3090e+00	NA	0	1	Unknown
VN1R1	ENST00000321039	0	0	0	0	0	0	NA	NA	0	0	Unknown
LECT2	ENST00000274507	3	0	30	21	5	8	1.4490e+00	NA	0	6	Moderate
CMBL	ENST00000296658	0	0	25	0	7	0	1.1130e+00	NA	0	6	Moderate
SRSF2	ENST00000392485	0	0	13	0	6	0	8.1100e-01	NA	0	6	Moderate
NKAPL	ENST00000343684	0	0	4	0	1	0	9.4900e-01	NA	0	6	Moderate
OR4C6	ENST00000314259	0	0	4	0	1	0	1.8890e+00	NA	0	5	Low
RAB30	ENST00000533486	0	1	44	8	4	0	3.7800e-01	NA	0	3	Low
TSSK4	ENST00000339917	0	0	29	0	6	0	1.5220e+00	NA	0	6	Moderate
TMEM163	ENST00000281924	0	0	3	0	1	0	8.5100e-01	NA	0	6	Moderate
OSBPL11	ENST00000296220	1	0	39	16	11	0	3.5800e-01	NA	0	7	High
GNB5	ENST00000261837	0	0	10	0	6	0	9.7400e-01	NA	0	8	High
CCL21	ENST00000259607	0	0	3	0	2	0	1.2120e+00	NA	0	6	Moderate
FMO2	ENST00000441535	0	0	13	0	11	0	1.0600e+00	NA	0	4	Low
RPTN	ENST00000316073	0	0	7	0	1	0	1.1510e+00	NA	0	6	Moderate
MSTN	ENST00000260950	0	0	25	5	10	0	5.2300e-01	NA	0	6	Moderate
VCL	ENST00000211998	0	0	5	0	2	0	3.9600e-01	NA	0	6	Moderate
FYTTD1	ENST00000241502	0	0	21	0	16	0	5.0700e-01	NA	0	6	Moderate
C11orf1	ENST00000260276	2	0	45	32	11	0	1.8470e+00	NA	0	5	Low
MOGAT1	ENST00000446656	0	0	0	0	0	0	1.5480e+00	NA	0	0	Unknown
HFE	ENST00000357618	0	0	17	0	8	0	1.1860e+00	30	0	6	Moderate
CCDC88C	ENST00000389857	0	0	5	0	3	0	4.5400e-01	NA	0	6	Moderate
IRGQ	ENST00000422989	0	0	12	0	4	0	7.5000e-01	NA	0	6	Moderate
RAVER2	ENST00000371072	0	0	3	0	2	0	8.1400e-01	NA	0	6	Moderate
AKAP5	ENST00000394718	2	0	56	13	2	0	5.2200e-01	NA	0	6	Moderate
SSSCA1	ENST00000309328	0	0	7	0	4	0	1.7250e+00	NA	0	5	Low
C11orf63	ENST00000227349	1	0	30	8	1	8	9.2000e-01	NA	0	6	Moderate
ZSCAN5D	ENST00000600684	0	0	0	0	0	0	1.7880e+00	NA	0	0	Unknown
PRAMEF4	ENST00000235349	0	0	9	0	1	0	1.9320e+00	NA	0	5	Low
PORCN	ENST00000326194	0	0	0	0	0	0	1.3500e-01	3	0	1	Unknown
DTL	ENST00000366991	1	0	47	5	10	0	4.9600e-01	NA	0	6	Moderate
ACTG2	ENST00000409624	2	1	75	32	20	8	6.2800e-01	NA	0	3	Low
CENPV	ENST00000299736	0	0	6	0	5	0	7.3600e-01	NA	0	6	Moderate
PRR23D1	ENST00000533250	0	0	0	0	0	0	1.6450e+00	NA	0	1	Unknown
LPAR6	ENST00000378434	14	0	263	126	5	0	1.2670e+00	30	0	6	Moderate
CTB-102L5.4	ENST00000587519	0	0	0	0	0	0	5.1200e-01	NA	0	0	Unknown
FAM122C	ENST00000370784	3	0	46	26	0	0	1.6040e+00	NA	0	2	Low
AC010327.2	ENST00000598855	1	1	0	0	0	0	NA	NA	0	1	Unknown
RSAD2	ENST00000382040	0	0	24	0	7	0	1.8130e+00	NA	0	5	Low
C21orf37	ENST00000440664	1	0	30	8	1	8	1.8140e+00	NA	0	5	Low
MYH8	ENST00000403437	0	0	12	0	4	0	1.0290e+00	NA	0	6	Moderate
KRTDAP	ENST00000338897	0	0	14	0	1	0	9.1300e-01	NA	0	6	Moderate
CRTC3	ENST00000268184	0	0	0	0	0	0	3.5900e-01	NA	0	1	Unknown
PRAMEF19	ENST00000540591	0	0	0	0	0	0	1.9410e+00	NA	0	1	Unknown
LRRFIP2	ENST00000421307	0	0	35	26	2	5	9.8300e-01	NA	0	6	Moderate
INTS4	ENST00000534064	0	0	6	0	2	0	7.0000e-01	NA	0	6	Moderate
TTN	ENST00000589042	1	0	25	8	3	8	3.5400e-01	NA	108	8	High
SLC26A5	ENST00000306312	1	0	36	5	2	5	7.2400e-01	NA	0	6	Moderate
RGS6	ENST00000553525	2	0	47	16	5	0	3.9900e-01	NA	0	6	Moderate
PLLP	ENST00000219207	0	0	12	0	6	0	1.2710e+00	NA	0	6	Moderate
SRGAP3	ENST00000383836	0	0	84	16	8	0	2.4300e-01	NA	0	7	High
ZNF525	ENST00000474037	0	0	19	0	8	0	1.4090e+00	NA	0	6	Moderate
NAF1	ENST00000274054	1	0	27	8	7	0	3.0700e-01	NA	0	7	High
BEST2	ENST00000549706	1	1	42	8	18	8	1.3060e+00	NA	0	3	Low
RNF121	ENST00000361756	1	0	54	16	4	0	4.8700e-01	NA	0	6	Moderate
ZNF93	ENST00000343769	0	0	3	0	1	0	1.8090e+00	NA	0	5	Low
RP11-382J12.1	ENST00000499227	6	1	161	52	1	0	NA	NA	0	3	Low
DMRTC2	ENST00000269945	0	0	11	0	6	0	4.4400e-01	NA	0	6	Moderate
C8orf76	ENST00000276704	0	0	1	0	0	0	1.6110e+00	NA	0	2	Low
TMEM219	ENST00000566848	2	0	51	16	7	8	1.4700e+00	NA	0	6	Moderate
BCCIP	ENST00000368759	0	0	0	0	0	0	7.8400e-01	NA	0	1	Unknown
MEST	ENST00000223215	1	0	25	5	12	5	4.6700e-01	0	0	6	Moderate
HTRA2	ENST00000258080	0	0	52	0	15	0	7.5600e-01	NA	0	6	Moderate
ILKAP	ENST00000254654	0	0	20	0	4	0	3.0100e-01	NA	0	7	High
ANGPTL2	ENST00000373425	4	0	95	37	19	0	6.6000e-01	NA	0	6	Moderate
ERAS	ENST00000338270	2	1	42	21	3	8	1.4450e+00	NA	0	3	Low
HBS1L	ENST00000367837	1	0	32	5	11	0	6.7600e-01	NA	0	6	Moderate
CPA5	ENST00000485477	8	0	174	76	7	8	7.4900e-01	NA	0	6	Moderate
TMEM30A	ENST00000230461	0	0	25	0	17	0	7.7000e-01	NA	0	6	Moderate
CD300LF	ENST00000326165	0	0	20	0	8	0	1.4410e+00	NA	0	6	Moderate
WISP3	ENST00000361714	0	0	5	0	3	0	8.4300e-01	30	0	6	Moderate
PDS5A	ENST00000303538	0	0	41	16	9	8	1.9600e-01	NA	0	7	High
CRK	ENST00000300574	0	0	12	0	6	0	3.2900e-01	NA	0	7	High
BRPF3	ENST00000357641	0	0	19	0	9	0	1.7700e-01	NA	0	7	High
NEDD9	ENST00000379446	1	0	17	5	3	0	4.3500e-01	NA	0	6	Moderate
SMPDL3B	ENST00000373894	0	0	34	0	2	0	1.2740e+00	NA	0	6	Moderate
PSG6	ENST00000292125	0	0	3	0	1	0	1.8360e+00	NA	0	5	Low
PSMD13	ENST00000431206	0	0	10	0	5	0	1.9400e-01	NA	0	7	High
ETV5	ENST00000306376	0	0	17	0	5	0	9.2000e-02	NA	0	7	High
FAM221A	ENST00000344962	0	0	7	0	6	0	1.6640e+00	NA	0	5	Low
OR51A4	ENST00000380373	0	0	0	0	0	0	1.9160e+00	NA	0	1	Unknown
RP11-318A15.7	ENST00000587459	0	0	0	0	0	0	1.9650e+00	NA	0	0	Unknown
CDK19	ENST00000368911	0	1	18	0	4	0	1.6300e-01	NA	0	3	Low
BTBD7	ENST00000334746	3	0	31	32	0	16	5.1000e-01	NA	0	6	Moderate
GSTO1	ENST00000369713	1	0	30	5	13	0	1.7450e+00	NA	0	5	Low
MAD2L1BP	ENST00000451025	0	0	24	0	12	0	1.4040e+00	NA	0	6	Moderate
COX6A2	ENST00000287490	0	0	14	0	8	0	1.5820e+00	NA	0	5	Low
SCNN1A	ENST00000360168	0	1	48	0	22	0	9.1200e-01	NA	0	3	Low
SDR42E2	ENST00000602312	0	0	0	0	0	0	1.6180e+00	NA	0	0	Unknown
PGAM4	ENST00000458128	0	0	0	0	0	0	NA	NA	0	0	Unknown
LSM1	ENST00000311351	1	1	58	8	20	8	1.2060e+00	NA	0	3	Low
UGT2B11	ENST00000446444	0	0	0	0	0	0	1.5910e+00	NA	0	1	Unknown
IDUA	ENST00000247933	0	1	6	0	4	0	1.1660e+00	30	3	3	Low
PPP2R3C	ENST00000261475	1	0	50	8	8	3	9.6000e-01	NA	0	6	Moderate
COX11	ENST00000299335	0	0	18	0	5	0	8.3000e-01	NA	0	6	Moderate
VWA5B2	ENST00000426955	0	0	5	0	5	0	5.9700e-01	NA	0	6	Moderate
PDZK1	ENST00000344770	0	0	10	0	6	0	1.7140e+00	NA	0	5	Low
ZNF443	ENST00000301547	0	0	7	0	2	0	1.7660e+00	NA	0	5	Low
KRTAP10-10	ENST00000380095	0	0	0	0	0	0	1.5310e+00	NA	0	1	Unknown
CXCL6	ENST00000226317	1	0	25	8	7	8	1.9700e+00	NA	0	5	Low
SLC34A2	ENST00000382051	0	0	4	0	2	0	1.0910e+00	30	0	6	Moderate
FAM217B	ENST00000358293	2	0	62	26	14	8	NA	NA	0	6	Moderate
NPTN	ENST00000345330	0	0	19	0	8	0	2.4700e-01	NA	0	7	High
UPP1	ENST00000331803	1	0	61	16	5	8	1.1180e+00	NA	0	6	Moderate
SLC6A9	ENST00000360584	2	1	23	13	4	0	6.3300e-01	NA	0	3	Low
OR7G3	ENST00000305444	0	0	0	0	0	0	NA	NA	0	0	Unknown
CISD1	ENST00000333926	1	0	18	8	3	8	1.4450e+00	NA	0	6	Moderate
SYT14	ENST00000422431	0	0	5	0	2	0	3.4200e-01	30	0	7	High
ZNHIT3	ENST00000225410	0	0	3	0	0	0	1.8030e+00	NA	0	2	Low
SNRPD3	ENST00000215829	0	0	43	0	3	0	4.6700e-01	NA	0	6	Moderate
PPP1R35	ENST00000292330	1	0	26	5	7	5	1.3640e+00	NA	0	6	Moderate
UNC93B1	ENST00000227471	0	0	4	0	1	0	5.1000e-01	NA	0	6	Moderate
FRG1B	ENST00000278882	2	1	0	0	0	0	1.2630e+00	NA	0	1	Unknown
GMNN	ENST00000230056	0	0	44	0	7	0	8.2500e-01	NA	0	6	Moderate
SPCS2	ENST00000263672	0	0	5	0	4	0	3.5500e-01	NA	0	7	High
NAPRT1	ENST00000449291	0	0	31	0	6	0	1.4270e+00	NA	0	6	Moderate
PNLIPRP1	ENST00000528052	0	0	10	0	6	0	1.2330e+00	NA	0	6	Moderate
OR6V1	ENST00000418316	0	0	3	0	2	0	1.8730e+00	NA	0	5	Low
PRKAB1	ENST00000229328	1	0	52	8	10	0	8.4300e-01	NA	0	6	Moderate
EYA4	ENST00000367895	1	0	57	5	6	0	4.5000e-01	3	0	8	High
KIF20A	ENST00000394894	0	0	38	0	5	0	7.4000e-01	NA	0	6	Moderate
ALG10	ENST00000266483	2	0	30	13	6	5	1.2030e+00	NA	0	6	Moderate
ITPKC	ENST00000263370	0	0	3	0	1	0	4.7200e-01	NA	0	6	Moderate
SIK3	ENST00000292055	0	0	0	0	0	0	1.2800e-01	NA	0	1	Unknown
LMX1B	ENST00000355497	0	0	0	0	0	0	4.1500e-01	3	0	1	Unknown
RPUSD4	ENST00000298317	0	0	5	0	2	0	1.1620e+00	NA	0	6	Moderate
C7orf34	ENST00000409607	0	1	7	0	6	0	1.8680e+00	NA	0	3	Low
DLGAP2	ENST00000421627	1	0	8	0	2	0	1.9900e-01	0	0	7	High
PFN1	ENST00000225655	1	0	50	7	0	7	6.8600e-01	NA	0	6	Moderate
ZNF654	ENST00000309495	2	1	35	13	8	8	1.7000e-01	NA	0	3	Low
MICALL2	ENST00000297508	0	0	10	0	4	0	1.3730e+00	NA	0	6	Moderate
SS18L1	ENST00000331758	0	0	1	0	1	0	3.0600e-01	NA	0	7	High
TIMM21	ENST00000169551	3	0	44	36	2	0	1.1460e+00	NA	0	6	Moderate
